Created as New Dataset;
s;A
696,00;0,7108
697,00;0,7025
698,00;0,6929
699,00;0,6849
700,00;0,6787
701,00;0,6756
702,00;0,6741
703,00;0,6772
704,00;0,6818
705,00;0,6881
706,00;0,6977
707,00;0,7058
708,00;0,7158
709,00;0,7243
710,00;0,7330
711,00;0,7418
712,00;0,7418
713,00;0,7365
714,00;0,7192
715,00;0,6881
716,00;0,6431
717,00;0,5921
718,00;0,5420
719,00;0,4970
720,00;0,4526
721,00;0,4131
722,00;0,3761
723,00;0,3400
724,00;0,3079
725,00;0,3179
726,00;0,6518
727,00;0,7295
728,00;0,3219
729,00;0,2455
730,00;0,2276
731,00;0,2206
732,00;0,2136
733,00;0,2037
734,00;0,1950
735,00;0,1894
736,00;0,1854
737,00;0,1810
738,00;0,1742
739,00;0,1698
740,00;0,1674
741,00;0,1960
742,00;0,8178
743,00;0,5735
744,00;0,1218
745,00;0,2309
746,00;0,6236
747,00;0,4224
748,00;0,0454
749,00;0,0082
750,00;0,0036
751,00;0,0023
752,00;0,0013
753,00;0,0010
754,00;-0,0003
755,00;-0,0013
756,00;-0,0016
757,00;-0,0019
758,00;-0,0023
759,00;-0,0029
760,00;-0,0032
761,00;-0,0035
762,00;-0,0035
763,00;-0,0039
764,00;-0,0042
765,00;-0,0042
766,00;-0,0045
767,00;-0,0045
768,00;-0,0045
769,00;-0,0048
770,00;-0,0048
771,00;-0,0052
772,00;-0,0052
773,00;-0,0052
774,00;-0,0052
775,00;-0,0052
776,00;-0,0055
777,00;-0,0052
778,00;-0,0055
779,00;-0,0055
780,00;-0,0055
781,00;-0,0055
782,00;-0,0055
783,00;-0,0058
784,00;-0,0058
785,00;-0,0058
786,00;-0,0055
787,00;-0,0058
788,00;-0,0055
789,00;-0,0058
790,00;-0,0058
791,00;-0,0055
792,00;-0,0055
793,00;-0,0055
794,00;-0,0055
795,00;-0,0058
796,00;-0,0055
797,00;-0,0055
798,00;-0,0055
799,00;-0,0058
800,00;-0,0058
801,00;-0,0058
802,00;-0,0058
803,00;-0,0058
804,00;-0,0058
805,00;-0,0061
806,00;-0,0058
807,00;-0,0058
808,00;-0,0058
809,00;-0,0058
810,00;-0,0061
811,00;-0,0061
812,00;-0,0058
813,00;-0,0061
814,00;-0,0058
815,00;-0,0058
816,00;-0,0058
817,00;-0,0061
818,00;-0,0058
819,00;-0,0058
820,00;-0,0058
821,00;-0,0058
822,00;-0,0058
823,00;-0,0058
824,00;-0,0058
825,00;-0,0061
826,00;-0,0061
827,00;-0,0061
828,00;-0,0061
829,00;-0,0058
830,00;-0,0058
831,00;-0,0058
832,00;-0,0058
833,00;-0,0058
834,00;-0,0061
835,00;-0,0061
836,00;-0,0058
837,00;-0,0061
838,00;-0,0058
839,00;-0,0061
840,00;-0,0061
841,00;-0,0061
842,00;-0,0061
843,00;-0,0061
844,00;-0,0061
845,00;-0,0061
846,00;-0,0061
847,00;-0,0061
848,00;-0,0061
849,00;-0,0061
850,00;-0,0058
851,00;-0,0061
852,00;-0,0058
853,00;-0,0061
854,00;-0,0061
855,00;-0,0061
856,00;-0,0061
857,00;-0,0064
858,00;-0,0061
859,00;-0,0061
860,00;-0,0061
861,00;-0,0061
862,00;-0,0061
863,00;-0,0058
864,00;-0,0061
865,00;-0,0058
866,00;-0,0061
867,00;-0,0061
868,00;-0,0064
869,00;-0,0061
870,00;-0,0061
871,00;-0,0061
872,00;-0,0064
873,00;-0,0061
874,00;-0,0064
875,00;-0,0061
876,00;-0,0061
877,00;-0,0061
878,00;-0,0061
879,00;-0,0061
880,00;-0,0061
881,00;-0,0061
882,00;-0,0061
883,00;-0,0061
884,00;-0,0061
885,00;-0,0061
886,00;-0,0061
887,00;-0,0061
888,00;-0,0061
889,00;-0,0061
890,00;-0,0064
891,00;-0,0061
892,00;-0,0061
893,00;-0,0061
894,00;-0,0061
895,00;-0,0061
896,00;-0,0064
897,00;-0,0064
898,00;-0,0064
899,00;-0,0061
900,00;-0,0061
901,00;-0,0064
902,00;-0,0061
903,00;-0,0061
904,00;-0,0064
905,00;-0,0064
906,00;-0,0064
907,00;-0,0061
908,00;-0,0064
909,00;-0,0064
910,00;-0,0064
911,00;-0,0061
912,00;-0,0064
913,00;-0,0061
914,00;-0,0064
915,00;-0,0061
916,00;-0,0064
917,00;-0,0064
918,00;-0,0064
919,00;-0,0064
920,00;-0,0064
921,00;-0,0061
922,00;-0,0064
923,00;-0,0064
924,00;-0,0064
925,00;-0,0064
926,00;-0,0064
927,00;-0,0064
928,00;-0,0067
929,00;-0,0067
930,00;-0,0064
931,00;-0,0064
932,00;-0,0064
933,00;-0,0064
934,00;-0,0064
935,00;-0,0064
936,00;-0,0064
937,00;-0,0067
938,00;-0,0064
939,00;-0,0064
940,00;-0,0067
941,00;-0,0067
942,00;-0,0067
943,00;-0,0064
944,00;-0,0067
945,00;-0,0067
946,00;-0,0064
947,00;-0,0064
948,00;-0,0064
949,00;-0,0067
950,00;-0,0067
951,00;-0,0067
952,00;-0,0067
953,00;-0,0067
954,00;-0,0067
955,00;-0,0067
956,00;-0,0067
957,00;-0,0067
958,00;-0,0067
959,00;-0,0064
960,00;-0,0067
961,00;-0,0067
962,00;-0,0067
963,00;-0,0067
964,00;-0,0071
965,00;-0,0071
966,00;-0,0067
967,00;-0,0067
968,00;-0,0067
969,00;-0,0067
970,00;-0,0067
971,00;-0,0067
972,00;-0,0071
973,00;-0,0067
974,00;-0,0067
975,00;-0,0067
976,00;-0,0067
977,00;-0,0067
978,00;-0,0067
979,00;-0,0067
980,00;-0,0067
981,00;-0,0071
982,00;-0,0067
983,00;-0,0071
984,00;-0,0071
985,00;-0,0071
986,00;-0,0067
987,00;-0,0067
988,00;-0,0071
989,00;-0,0074
990,00;-0,0077
991,00;-0,0074
992,00;-0,0074
993,00;-0,0074
994,00;-0,0074
995,00;-0,0074
996,00;-0,0074
997,00;-0,0074
998,00;-0,0074
999,00;-0,0074
1000,00;-0,0077
1001,00;-0,0074
1002,00;-0,0074
1003,00;-0,0074
1004,00;-0,0074
1005,00;-0,0074
1006,00;-0,0074
1007,00;-0,0077
1008,00;-0,0077
1009,00;-0,0074
1010,00;-0,0074
1011,00;-0,0074
1012,00;-0,0074
1013,00;-0,0074
1014,00;-0,0077
1015,00;-0,0074
1016,00;-0,0077
1017,00;-0,0074
1018,00;-0,0077
1019,00;-0,0077
1020,00;-0,0077
1021,00;-0,0077
1022,00;-0,0074
1023,00;-0,0077
1024,00;-0,0080
1025,00;-0,0077
1026,00;-0,0074
1027,00;-0,0077
1028,00;-0,0077
1029,00;-0,0077
1030,00;-0,0077
1031,00;-0,0080
1032,00;-0,0077
1033,00;-0,0077
1034,00;-0,0077
1035,00;-0,0077
1036,00;-0,0077
1037,00;-0,0074
1038,00;-0,0077
1039,00;-0,0074
1040,00;-0,0074
1041,00;-0,0077
1042,00;-0,0077
1043,00;-0,0077
1044,00;-0,0077
1045,00;-0,0077
1046,00;-0,0074
1047,00;-0,0077
1048,00;-0,0077
1049,00;-0,0077
1050,00;-0,0074
1051,00;-0,0074
1052,00;-0,0074
1053,00;-0,0074
1054,00;-0,0074
1055,00;-0,0074
1056,00;-0,0071
1057,00;-0,0071
1058,00;-0,0071
1059,00;-0,0064
1060,00;-0,0048
1061,00;0,0052
1062,00;0,0916
1063,00;0,2073
1064,00;0,3879
1065,00;0,4507
1066,00;0,4285
1067,00;0,3785
1068,00;0,3219
1069,00;0,2830
1070,00;0,2623
1071,00;0,2506
1072,00;0,2364
1073,00;0,2222
1074,00;0,2094
1075,00;0,2011
1076,00;0,1995
1077,00;0,2001
1078,00;0,2011
1079,00;0,2026
1080,00;0,2031
1081,00;0,2037
1082,00;0,2047
1083,00;0,2052
1084,00;0,2052
1085,00;0,2063
1086,00;0,2073
1087,00;0,2084
1088,00;0,2089
1089,00;0,2089
1090,00;0,2094
