Created as New Dataset;
s;A
861,00;0,0018
862,00;0,0018
863,00;0,0021
864,00;0,0018
865,00;0,0015
866,00;0,0018
867,00;0,0018
868,00;0,0015
869,00;0,0018
870,00;0,0021
871,00;0,0018
872,00;0,0015
873,00;0,0015
874,00;0,0015
875,00;0,0018
876,00;0,0018
877,00;0,0015
878,00;0,0015
879,00;0,0015
880,00;0,0015
881,00;0,0015
882,00;0,0015
883,00;0,0015
884,00;0,0018
885,00;0,0015
886,00;0,0015
887,00;0,0018
888,00;0,0018
889,00;0,0015
890,00;0,0015
891,00;0,0018
892,00;0,0015
893,00;0,0015
894,00;0,0015
895,00;0,0015
896,00;0,0015
897,00;0,0015
898,00;0,0012
899,00;0,0015
900,00;0,0015
901,00;0,0015
902,00;0,0015
903,00;0,0015
904,00;0,0015
905,00;0,0015
906,00;0,0015
907,00;0,0015
908,00;0,0015
909,00;0,0018
910,00;0,0018
911,00;0,0018
912,00;0,0018
913,00;0,0015
914,00;0,0018
915,00;0,0018
916,00;0,0018
917,00;0,0018
918,00;0,0018
919,00;0,0018
920,00;0,0015
921,00;0,0018
922,00;0,0018
923,00;0,0018
924,00;0,0015
925,00;0,0015
926,00;0,0018
927,00;0,0018
928,00;0,0018
929,00;0,0018
930,00;0,0021
931,00;0,0018
932,00;0,0018
933,00;0,0015
934,00;0,0015
935,00;0,0015
936,00;0,0012
937,00;0,0015
938,00;0,0015
939,00;0,0018
940,00;0,0015
941,00;0,0018
942,00;0,0018
943,00;0,0018
944,00;0,0018
945,00;0,0018
946,00;0,0015
947,00;0,0015
948,00;0,0012
949,00;0,0018
950,00;0,0018
951,00;0,0018
952,00;0,0018
953,00;0,0015
954,00;0,0015
955,00;0,0015
956,00;0,0015
957,00;0,0015
958,00;0,0018
959,00;0,0015
960,00;0,0015
961,00;0,0018
962,00;0,0018
963,00;0,0018
964,00;0,0015
965,00;0,0015
966,00;0,0015
967,00;0,0015
968,00;0,0012
969,00;0,0012
970,00;0,0015
971,00;0,0015
972,00;0,0018
973,00;0,0015
974,00;0,0015
975,00;0,0015
976,00;0,0015
977,00;0,0012
978,00;0,0015
979,00;0,0015
980,00;0,0018
981,00;0,0018
982,00;0,0018
983,00;0,0015
984,00;0,0018
985,00;0,0018
986,00;0,0015
987,00;0,0018
988,00;0,0018
989,00;0,0018
990,00;0,0018
991,00;0,0018
992,00;0,0018
993,00;0,0018
994,00;0,0015
995,00;0,0015
996,00;0,0018
997,00;0,0018
998,00;0,0018
999,00;0,0018
1000,00;0,0015
1001,00;0,0012
1002,00;0,0015
1003,00;0,0015
1004,00;0,0018
1005,00;0,0015
1006,00;0,0018
1007,00;0,0015
1008,00;0,0015
1009,00;0,0015
1010,00;0,0018
1011,00;0,0015
1012,00;0,0012
1013,00;0,0015
1014,00;0,0015
1015,00;0,0012
1016,00;0,0015
1017,00;0,0012
1018,00;0,0015
1019,00;0,0015
1020,00;0,0015
1021,00;0,0015
1022,00;0,0015
1023,00;0,0018
1024,00;0,0018
1025,00;0,0015
1026,00;0,0015
1027,00;0,0015
1028,00;0,0018
1029,00;0,0015
1030,00;0,0015
1031,00;0,0015
1032,00;0,0015
1033,00;0,0015
1034,00;0,0012
1035,00;0,0015
1036,00;0,0015
1037,00;0,0015
1038,00;0,0012
1039,00;0,0012
1040,00;0,0009
1041,00;0,0012
1042,00;0,0015
1043,00;0,0018
1044,00;0,0015
1045,00;0,0018
1046,00;0,0018
1047,00;0,0018
1048,00;0,0015
1049,00;0,0018
1050,00;0,0015
1051,00;0,0018
1052,00;0,0015
1053,00;0,0018
1054,00;0,0024
1055,00;0,0031
1056,00;0,0040
1057,00;0,0080
1058,00;0,0989
1059,00;0,2586
1060,00;0,3366
1061,00;0,3562
1062,00;0,3542
1063,00;0,3473
1064,00;0,3287
1065,00;0,3122
1066,00;0,2944
1067,00;0,2653
1068,00;0,2272
1069,00;0,1911
1070,00;0,1645
1071,00;0,1466
1072,00;0,1369
1073,00;0,1327
1074,00;0,1311
1075,00;0,1319
1076,00;0,1315
1077,00;0,1315
1078,00;0,1315
1079,00;0,1323
1080,00;0,1331
1081,00;0,1340
1082,00;0,1344
1083,00;0,1352
1084,00;0,1348
1085,00;0,1348
1086,00;0,1356
1087,00;0,1348
1088,00;0,1348
1089,00;0,1352
1090,00;0,1356
1091,00;0,1352
1092,00;0,1356
1093,00;0,1356
1094,00;0,1365
1095,00;0,1365
1096,00;0,1361
1097,00;0,1369
1098,00;0,1382
1099,00;0,1398
1100,00;0,1428
1101,00;0,1526
1102,00;0,1776
1103,00;0,2277
1104,00;0,3294
1105,00;0,4786
1106,00;0,6045
1107,00;0,6735
1108,00;0,7033
1109,00;0,7142
1110,00;0,7158
1111,00;0,7110
1112,00;0,7033
1113,00;0,6941
1114,00;0,6866
1115,00;0,6808
1116,00;0,6778
1117,00;0,6793
1118,00;0,6822
1119,00;0,6881
1120,00;0,6941
1121,00;0,7017
1122,00;0,7110
1123,00;0,7221
1124,00;0,7319
1125,00;0,7385
1126,00;0,7402
1127,00;0,7369
1128,00;0,7270
1129,00;0,6926
1130,00;0,6363
1131,00;0,5624
1132,00;0,4926
1133,00;0,4358
1134,00;0,3871
1135,00;0,3373
1136,00;0,2902
1137,00;0,2531
1138,00;0,2282
1139,00;0,2100
1140,00;0,1949
1141,00;0,1841
1142,00;0,1735
1143,00;0,1650
1144,00;0,1539
1145,00;0,1475
1146,00;0,1428
1147,00;0,1382
1148,00;0,1340
1149,00;0,1303
1150,00;0,1266
1151,00;0,1290
1152,00;0,1415
1153,00;0,1483
1154,00;0,1466
1155,00;0,1340
1156,00;0,1274
1157,00;0,1105
1158,00;0,0970
1159,00;0,0831
1160,00;0,0664
1161,00;0,0514
1162,00;0,0396
1163,00;0,0310
1164,00;0,0258
1165,00;0,0229
1166,00;0,0206
1167,00;0,0184
1168,00;0,0158
1169,00;0,0149
1170,00;0,0139
1171,00;0,0127
1172,00;0,0117
1173,00;0,0111
1174,00;0,0102
1175,00;0,0092
1176,00;0,0083
1177,00;0,0077
1178,00;0,0074
1179,00;0,0065
1180,00;0,0058
1181,00;0,0058
1182,00;0,0074
1183,00;0,0074
1184,00;0,0058
1185,00;0,0049
1186,00;0,0040
1187,00;0,0034
1188,00;0,0034
1189,00;0,0031
1190,00;0,0028
1191,00;0,0028
1192,00;0,0028
1193,00;0,0028
1194,00;0,0028
1195,00;0,0024
1196,00;0,0028
1197,00;0,0024
1198,00;0,0021
1199,00;0,0018
1200,00;0,0021
1201,00;0,0021
1202,00;0,0018
1203,00;0,0018
1204,00;0,0018
1205,00;0,0018
1206,00;0,0018
1207,00;0,0018
1208,00;0,0018
1209,00;0,0018
1210,00;0,0021
1211,00;0,0018
1212,00;0,0021
1213,00;0,0018
1214,00;0,0021
1215,00;0,0018
1216,00;0,0018
1217,00;0,0015
1218,00;0,0015
1219,00;0,0015
1220,00;0,0018
1221,00;0,0018
1222,00;0,0018
1223,00;0,0018
